id,name,artists,duration (ms),popularity,url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
017PF4Q3l4DBUiWoXk4OWT,Break My Heart,Dua Lipa,221820,75,https://p.scdn.co/mp3-preview/a0078bbdb4351ec221eb7f330bd01856636601b5?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.73,0.729,4,-3.434,0,0.0884,0.167,1.39e-06,0.349,0.467,113.011,audio_features,spotify:track:017PF4Q3l4DBUiWoXk4OWT,https://api.spotify.com/v1/tracks/017PF4Q3l4DBUiWoXk4OWT,https://api.spotify.com/v1/audio-analysis/017PF4Q3l4DBUiWoXk4OWT,221820,4
68UU9oaQtMDnh6PRlW842H,I Like Him,Princess Nokia,132453,56,https://p.scdn.co/mp3-preview/81f8c55a1a73af403980382e623a1c40784dadb2?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.893,0.579,9,-8.995,1,0.113,0.0641,0.000121,0.215,0.611,133.018,audio_features,spotify:track:68UU9oaQtMDnh6PRlW842H,https://api.spotify.com/v1/tracks/68UU9oaQtMDnh6PRlW842H,https://api.spotify.com/v1/audio-analysis/68UU9oaQtMDnh6PRlW842H,132453,4
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),Dua Lipa,203064,80,https://p.scdn.co/mp3-preview/6af6db91dba9103cca41d6d5225f6fe120fcfcd3?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,audio_features,spotify:track:5nujrmhLynf4yMoMtj8AQF,https://api.spotify.com/v1/tracks/5nujrmhLynf4yMoMtj8AQF,https://api.spotify.com/v1/audio-analysis/5nujrmhLynf4yMoMtj8AQF,203064,4
67BtfxlNbhBmCDR2L2l8qd,MONTERO (Call Me By Your Name),Lil Nas X,137875,69,https://p.scdn.co/mp3-preview/f653a289186d0de9a7685e2958ed5d86e073f3c0?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.61,0.508,8,-6.682,0,0.152,0.297,0,0.384,0.758,178.818,audio_features,spotify:track:67BtfxlNbhBmCDR2L2l8qd,https://api.spotify.com/v1/tracks/67BtfxlNbhBmCDR2L2l8qd,https://api.spotify.com/v1/audio-analysis/67BtfxlNbhBmCDR2L2l8qd,137876,4
748mdHapucXQri7IAO8yFK,Kiss Me More (feat. SZA),Doja Cat,208866,72,https://p.scdn.co/mp3-preview/e3ea7622ca746e1e96c3dac7d7e07b7ccfdeb3f1?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,audio_features,spotify:track:748mdHapucXQri7IAO8yFK,https://api.spotify.com/v1/tracks/748mdHapucXQri7IAO8yFK,https://api.spotify.com/v1/audio-analysis/748mdHapucXQri7IAO8yFK,208867,4
073ILU1C3APNRGF66VhtyA,Liar,Camila Cabello,207038,61,https://p.scdn.co/mp3-preview/b043b84b93a893045b47db32f6dd5364a8b6dfda?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.74,0.498,11,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,98.016,audio_features,spotify:track:073ILU1C3APNRGF66VhtyA,https://api.spotify.com/v1/tracks/073ILU1C3APNRGF66VhtyA,https://api.spotify.com/v1/audio-analysis/073ILU1C3APNRGF66VhtyA,207039,4
2xJCMIJfcNYDc5iR0sAm2O,New Rules,Dua Lipa,209320,58,https://p.scdn.co/mp3-preview/e4f2ca20fc8aea1eb592d613d7a4b4da6012eaa2?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,audio_features,spotify:track:2xJCMIJfcNYDc5iR0sAm2O,https://api.spotify.com/v1/tracks/2xJCMIJfcNYDc5iR0sAm2O,https://api.spotify.com/v1/audio-analysis/2xJCMIJfcNYDc5iR0sAm2O,209320,4
58wyJLv6yH1La9NIZPl3ne,Can We Kiss Forever?,Kina,187931,70,https://p.scdn.co/mp3-preview/cd3688f74f4f5641fb5047d20c79dc27a8c01125?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.522,0.128,4,-18.717,1,0.0357,0.894,0.026,0.0941,0.124,109.986,audio_features,spotify:track:58wyJLv6yH1La9NIZPl3ne,https://api.spotify.com/v1/tracks/58wyJLv6yH1La9NIZPl3ne,https://api.spotify.com/v1/audio-analysis/58wyJLv6yH1La9NIZPl3ne,187932,4
7a53HqqArd4b9NF4XAmlbI,Kings & Queens,Ava Max,162398,79,https://p.scdn.co/mp3-preview/dc90347787fa47daa898d4ffbfff36074d184d64?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.637,0.69,1,-4.057,0,0.0405,0.00786,0,0.124,0.457,129.857,audio_features,spotify:track:7a53HqqArd4b9NF4XAmlbI,https://api.spotify.com/v1/tracks/7a53HqqArd4b9NF4XAmlbI,https://api.spotify.com/v1/audio-analysis/7a53HqqArd4b9NF4XAmlbI,162399,4
4e4fqjx0Izh4svvTef1z7e,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,164205,69,https://p.scdn.co/mp3-preview/0b972d24c49e50be428edfacbafae85cb80249e9?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.642,0.772,10,-6.61,1,0.0848,0.0476,0,0.0646,0.589,153.995,audio_features,spotify:track:4e4fqjx0Izh4svvTef1z7e,https://api.spotify.com/v1/tracks/4e4fqjx0Izh4svvTef1z7e,https://api.spotify.com/v1/audio-analysis/4e4fqjx0Izh4svvTef1z7e,164205,4
